iter	f_val	grad_norm	x0	x1
418	0.02582743	0.16482788	0.83944658	0.70396322
419	0.02568875	0.16432187	0.83987815	0.70469005
420	0.02555091	0.16381799	0.84030822	0.70541472
421	0.02541392	0.16331624	0.84073680	0.70613724
422	0.02527778	0.16281659	0.84116389	0.70685762
423	0.02514247	0.16231905	0.84158950	0.70757587
424	0.02500799	0.16182359	0.84201364	0.70829200
425	0.02487433	0.16133021	0.84243632	0.70900601
426	0.02474149	0.16083888	0.84285754	0.70971791
427	0.02460946	0.16034960	0.84327731	0.71042772
428	0.02447824	0.15986236	0.84369564	0.71113544
429	0.02434781	0.15937715	0.84411254	0.71184107
430	0.02421818	0.15889394	0.84452800	0.71254464
431	0.02408934	0.15841274	0.84494204	0.71324613
432	0.02396127	0.15793352	0.84535467	0.71394557
433	0.02383399	0.15745628	0.84576589	0.71464296
434	0.02370748	0.15698101	0.84617571	0.71533831
435	0.02358173	0.15650768	0.84658413	0.71603163
436	0.02345674	0.15603630	0.84699117	0.71672292
437	0.02333251	0.15556685	0.84739682	0.71741220
438	0.02320903	0.15509932	0.84780110	0.71809946
439	0.02308629	0.15463370	0.84820402	0.71878473
440	0.02296429	0.15416997	0.84860557	0.71946800
441	0.02284302	0.15370813	0.84900576	0.72014928
442	0.02272248	0.15324817	0.84940461	0.72082858
443	0.02260266	0.15279007	0.84980211	0.72150592
444	0.02248357	0.15233382	0.85019828	0.72218129
445	0.02236518	0.15187942	0.85059311	0.72285471
446	0.02224750	0.15142684	0.85098663	0.72352618
447	0.02213053	0.15097609	0.85137882	0.72419570
448	0.02201425	0.15052715	0.85176971	0.72486330
449	0.02189867	0.15008001	0.85215929	0.72552897
450	0.02178378	0.14963466	0.85254757	0.72619272
451	0.02166956	0.14919109	0.85293456	0.72685456
452	0.02155603	0.14874929	0.85332026	0.72751449
453	0.02144317	0.14830926	0.85370468	0.72817253
454	0.02133098	0.14787097	0.85408782	0.72882868
455	0.02121946	0.14743442	0.85446970	0.72948295
456	0.02110859	0.14699961	0.85485031	0.73013534
457	0.02099838	0.14656651	0.85522967	0.73078587
458	0.02088882	0.14613513	0.85560777	0.73143453
459	0.02077991	0.14570544	0.85598463	0.73208134
460	0.02067164	0.14527745	0.85636024	0.73272631
461	0.02056400	0.14485115	0.85673463	0.73336943
462	0.02045700	0.14442651	0.85710778	0.73401072
463	0.02035063	0.14400354	0.85747971	0.73465018
464	0.02024488	0.14358223	0.85785042	0.73528783
465	0.02013976	0.14316256	0.85821992	0.73592366
466	0.02003524	0.14274453	0.85858821	0.73655768
467	0.01993134	0.14232812	0.85895530	0.73718991
468	0.01982805	0.14191334	0.85932120	0.73782034
469	0.01972536	0.14150016	0.85968590	0.73844899
470	0.01962327	0.14108859	0.86004942	0.73907586
471	0.01952177	0.14067861	0.86041176	0.73970096
472	0.01942087	0.14027021	0.86077292	0.74032429
473	0.01932055	0.13986339	0.86113292	0.74094586
474	0.01922082	0.13945813	0.86149175	0.74156568
475	0.01912166	0.13905444	0.86184942	0.74218375
476	0.01902308	0.13865229	0.86220594	0.74280008
477	0.01892507	0.13825168	0.86256130	0.74341468
478	0.01882763	0.13785261	0.86291553	0.74402755
479	0.01873076	0.13745506	0.86326861	0.74463870
480	0.01863444	0.13705903	0.86362057	0.74524813
481	0.01853868	0.13666451	0.86397139	0.74585586
482	0.01844347	0.13627149	0.86432109	0.74646188
483	0.01834881	0.13587996	0.86466967	0.74706621
484	0.01825469	0.13548992	0.86501714	0.74766885
485	0.01816111	0.13510135	0.86536349	0.74826980
486	0.01806808	0.13471425	0.86570875	0.74886908
487	0.01797558	0.13432861	0.86605290	0.74946668
488	0.01788360	0.13394443	0.86639596	0.75006262
489	0.01779216	0.13356169	0.86673793	0.75065690
490	0.01770124	0.13318039	0.86707882	0.75124952
491	0.01761083	0.13280052	0.86741862	0.75184050
492	0.01752095	0.13242208	0.86775735	0.75242984
493	0.01743158	0.13204505	0.86809500	0.75301754
494	0.01734272	0.13166943	0.86843160	0.75360361
495	0.01725436	0.13129521	0.86876712	0.75418805
496	0.01716651	0.13092238	0.86910159	0.75477088
497	0.01707915	0.13055094	0.86943501	0.75535209
498	0.01699230	0.13018088	0.86976738	0.75593170
499	0.01690594	0.12981219	0.87009871	0.75650971
500	0.01682006	0.12944487	0.87042899	0.75708612
501	0.01673468	0.12907891	0.87075825	0.75766094
502	0.01664977	0.12871429	0.87108647	0.75823418
503	0.01656535	0.12835102	0.87141366	0.75880584
504	0.01648141	0.12798909	0.87173983	0.75937592
505	0.01639794	0.12762849	0.87206499	0.75994444
506	0.01631494	0.12726921	0.87238913	0.76051140
507	0.01623241	0.12691125	0.87271226	0.76107680
508	0.01615034	0.12655460	0.87303439	0.76164065
509	0.01606874	0.12619926	0.87335552	0.76220295
510	0.01598759	0.12584521	0.87367565	0.76276372
511	0.01590690	0.12549245	0.87399478	0.76332295
512	0.01582667	0.12514098	0.87431293	0.76388064
513	0.01574688	0.12479078	0.87463010	0.76443682
